id,status,duration,start_date,start_station,end_date,end_station,bike_nr,subscription_type,zip_code,birth_date,gender
325609,Closed,411,2012-06-19 00:03:00,24,2012-06-19 00:10:00,40,B00471,Casual,,,
325804,Closed,618,2012-06-19 07:35:00,25,2012-06-19 07:45:00,48,B00308,Registered,2118,1975,Male
325805,Closed,802,2012-06-19 07:35:00,60,2012-06-19 07:49:00,10,B00157,Registered,2114,1983,Female
325806,Closed,263,2012-06-19 07:35:00,60,2012-06-19 07:40:00,49,B00001,Registered,2139,1984,Male
325807,Closed,437,2012-06-19 07:35:00,26,2012-06-19 07:43:00,16,B00478,Registered,2118,1988,Male
325808,Closed,334,2012-06-19 07:36:00,43,2012-06-19 07:41:00,35,B00489,Registered,2043,1982,Female
325809,Closed,381,2012-06-19 07:36:00,47,2012-06-19 07:42:00,22,B00626,Registered,2113,1983,Male
325810,Closed,702,2012-06-19 07:36:00,42,2012-06-19 07:48:00,31,B00239,Casual,,,
325811,Closed,499,2012-06-19 07:36:00,38,2012-06-19 07:45:00,43,B00527,Registered,2478,1963,Male
325812,Closed,177,2012-06-19 07:36:00,22,2012-06-19 07:39:00,64,B00268,Registered,2141,1983,Male
325813,Closed,642,2012-06-19 07:37:00,25,2012-06-19 07:47:00,46,B00236,Registered,2118,1972,Male
325814,Closed,251,2012-06-19 07:37:00,58,2012-06-19 07:41:00,36,B00343,Registered,2108,1965,Male
325815,Closed,525,2012-06-19 07:37:00,49,2012-06-19 07:46:00,44,B00458,Registered,2116,1963,Male
325817,Closed,608,2012-06-19 07:37:00,25,2012-06-19 07:47:00,46,B00621,Registered,2118,1974,Female
325818,Closed,1243,2012-06-19 07:37:00,27,2012-06-19 07:58:00,8,B00627,Registered,2119,1970,Male
325819,Closed,977,2012-06-19 07:38:00,45,2012-06-19 07:54:00,38,B00171,Registered,2215,1987,Male
325820,Closed,743,2012-06-19 07:39:00,32,2012-06-19 07:51:00,46,B00404,Casual,,,
325821,Closed,1187,2012-06-19 07:38:00,17,2012-06-19 07:58:00,35,B00166,Registered,2138,1984,Male
325822,Closed,496,2012-06-19 07:38:00,22,2012-06-19 07:46:00,42,B00494,Registered,2169,1980,Male
325823,Closed,282,2012-06-19 07:38:00,35,2012-06-19 07:43:00,20,B00168,Casual,,,
325824,Closed,199,2012-06-19 07:38:00,21,2012-06-19 07:42:00,57,B00095,Registered,2118,1985,Male
325826,Closed,490,2012-06-19 07:39:00,53,2012-06-19 07:47:00,39,B00336,Registered,2115,1984,Male
325827,Closed,665,2012-06-19 07:39:00,61,2012-06-19 07:50:00,48,B00456,Registered,2468,1959,Male
325828,Closed,569,2012-06-19 07:39:00,39,2012-06-19 07:49:00,35,B00270,Registered,2118,1974,Female
325829,Closed,668,2012-06-19 07:40:00,39,2012-06-19 07:51:00,35,B00415,Registered,2118,1985,Male
325830,Closed,696,2012-06-19 07:40:00,8,2012-06-19 07:52:00,11,B00026,Registered,2134,1983,Male
325831,Closed,291,2012-06-19 07:40:00,54,2012-06-19 07:45:00,22,B00064,Registered,2108,1968,Male
325832,Closed,347,2012-06-19 07:40:00,50,2012-06-19 07:46:00,54,B00632,Registered,2116,1955,Male
325833,Closed,121,2012-06-19 07:40:00,22,2012-06-19 07:42:00,64,B00107,Registered,2115,1987,Male
325834,Closed,965,2012-06-19 07:40:00,38,2012-06-19 07:56:00,36,B00474,Registered,2129,1980,Male
325835,Closed,1139,2012-06-19 07:41:00,16,2012-06-19 08:00:00,62,B00572,Registered,2703,1981,Male
325836,Closed,333,2012-06-19 07:42:00,47,2012-06-19 07:47:00,35,B00433,Registered,2113,1975,Male
325837,Closed,299,2012-06-19 07:42:00,16,2012-06-19 07:47:00,49,B00229,Registered,2026,1986,Male
325838,Closed,657,2012-06-19 07:42:00,16,2012-06-19 07:53:00,3,B00326,Registered,2852,1959,Male
325840,Closed,694,2012-06-19 07:44:00,8,2012-06-19 07:55:00,10,B00162,Casual,,,
325841,Closed,336,2012-06-19 07:43:00,38,2012-06-19 07:49:00,43,B00589,Registered,1982,1961,Male
325842,Closed,151,2012-06-19 07:43:00,22,2012-06-19 07:46:00,48,B00186,Registered,2124,1983,Male
325843,Closed,808,2012-06-19 07:43:00,38,2012-06-19 07:57:00,31,B00518,Registered,2210,1955,Male
325844,Closed,1512,2012-06-19 07:43:00,29,2012-06-19 08:09:00,26,B00454,Registered,2134,1976,Male
325845,Closed,701,2012-06-19 07:44:00,38,2012-06-19 07:55:00,31,B00459,Registered,1950,1980,Male
325846,Closed,360,2012-06-19 07:44:00,22,2012-06-19 07:50:00,40,B00581,Registered,2110,1982,Male
325847,Closed,1471,2012-06-19 07:44:00,38,2012-06-19 08:08:00,44,B00199,Registered,1970,1958,Female
325848,Closed,357,2012-06-19 07:44:00,22,2012-06-19 07:50:00,23,B00258,Registered,2108,1951,Male
325849,Closed,351,2012-06-19 07:46:00,63,2012-06-19 07:51:00,64,B00030,Casual,,,
325850,Closed,774,2012-06-19 07:44:00,53,2012-06-19 07:57:00,38,B00509,Registered,2115,1982,Male
325851,Closed,883,2012-06-19 07:44:00,38,2012-06-19 07:59:00,49,B00435,Registered,2145,1952,Female
325852,Closed,369,2012-06-19 07:45:00,57,2012-06-19 07:51:00,16,B00372,Registered,2115,1989,Male
325853,Closed,1236,2012-06-19 07:45:00,38,2012-06-19 08:06:00,3,B00540,Registered,1460,1966,Male
325854,Closed,416,2012-06-19 07:45:00,47,2012-06-19 07:52:00,43,B00532,Registered,2113,1979,Female
325856,Closed,532,2012-06-19 07:46:00,38,2012-06-19 07:55:00,42,B00428,Registered,1876,1975,Male
325857,Closed,655,2012-06-19 07:46:00,58,2012-06-19 07:57:00,58,B00011,Registered,2445,1966,Female
325858,Closed,558,2012-06-19 07:46:00,57,2012-06-19 07:56:00,54,B00553,Registered,2118,1963,Male
325860,Closed,576,2012-06-19 07:47:00,38,2012-06-19 07:56:00,64,B00521,Registered,1852,1986,Male
325861,Closed,423,2012-06-19 07:47:00,58,2012-06-19 07:54:00,61,B00073,Registered,2108,1983,Male
325862,Closed,625,2012-06-19 07:47:00,39,2012-06-19 07:58:00,55,B00298,Registered,2118,1988,Female
325863,Closed,328,2012-06-19 07:47:00,25,2012-06-19 07:53:00,52,B00214,Registered,2215,1984,Male
325864,Closed,508,2012-06-19 07:48:00,44,2012-06-19 07:57:00,36,B00612,Registered,2155,1975,Male
325865,Closed,500,2012-06-19 07:49:00,36,2012-06-19 07:57:00,22,B00631,Registered,2205,1973,Male
325866,Closed,344,2012-06-19 07:49:00,4,2012-06-19 07:55:00,59,B00548,Registered,2118,,Male
325867,Closed,389,2012-06-19 07:49:00,52,2012-06-19 07:55:00,39,B00284,Registered,2115,1982,Male
325869,Closed,796,2012-06-19 07:49:00,16,2012-06-19 08:02:00,32,B00017,Registered,2806,1962,Male
325870,Closed,1030,2012-06-19 07:49:00,33,2012-06-19 08:07:00,48,B00501,Registered,2115,1982,Female
